Date,Avg,Peak
01-01-2018,2663.95,4018.45
02-01-2018,2753.54,3994.94
03-01-2018,2855.71,4187.68
04-01-2018,2877.05,4049.02
05-01-2018,3001.99,4427.93
06-01-2018,2823.90,4134.86
07-01-2018,2715.62,4042.18
08-01-2018,2876.63,4189.80
09-01-2018,2895.99,4189.61
10-01-2018,2913.96,4214.11
11-01-2018,2878.96,4116.97
12-01-2018,2918.16,4223.87
13-01-2018,2655.25,3938.58
14-01-2018,2603.97,3946.64
15-01-2018,2746.50,3994.38
16-01-2018,2786.88,3885.54
17-01-2018,2858.03,4041.23
18-01-2018,2810.19,3940.16
19-01-2018,2787.25,3983.49
20-01-2018,2678.33,3816.95
21-01-2018,2593.46,3886.56
22-01-2018,2729.48,3885.47
23-01-2018,2754.42,3853.39
24-01-2018,2889.69,4101.13
25-01-2018,2869.30,4047.58
26-01-2018,2423.42,3548.72
27-01-2018,2644.24,4123.17
28-01-2018,2656.83,4002.97
29-01-2018,2818.31,4029.89
30-01-2018,2778.24,3881.10
31-01-2018,2795.84,3967.90
01-02-2018,2721.77,3756.20
02-02-2018,2702.19,3877.64
03-02-2018,2555.81,3720.93
04-02-2018,2502.52,3702.98
05-02-2018,2675.79,3751.41
06-02-2018,2682.39,3741.67
07-02-2018,2743.26,3798.80
08-02-2018,2752.02,3714.82
09-02-2018,2776.42,3882.89
10-02-2018,2614.47,3725.44
11-02-2018,2504.10,3690.89
12-02-2018,2672.50,3717.57
13-02-2018,2672.00,3790.37
14-02-2018,2648.15,3943.72
15-02-2018,2662.78,3695.61
16-02-2018,2717.06,3814.27
17-02-2018,2538.63,3541.48
18-02-2018,2435.80,3567.29
19-02-2018,2555.30,3527.03
20-02-2018,2587.24,3564.96
21-02-2018,2588.13,3510.71
22-02-2018,2615.07,3470.59
23-02-2018,2680.73,3589.20
24-02-2018,2564.76,3375.12
25-02-2018,2457.44,3334.86
26-02-2018,2582.97,3396.43
27-02-2018,2624.77,3619.67
28-02-2018,2677.30,3567.56
01-03-2018,2502.35,3454.99
02-03-2018,1966.73,2368.99
03-03-2018,2248.51,2912.17
04-03-2018,2348.85,3081.15
05-03-2018,2591.72,3278.28
06-03-2018,2594.86,3306.16
07-03-2018,2629.47,3356.10
08-03-2018,2689.83,3364.13
09-03-2018,2737.25,3491.04
10-03-2018,2614.08,3291.05
11-03-2018,2516.20,3166.57
12-03-2018,2753.14,3414.34
13-03-2018,2814.79,3481.91
14-03-2018,2911.74,3599.69
15-03-2018,2912.07,3549.32
16-03-2018,2927.53,3724.43
17-03-2018,2734.43,3285.37
18-03-2018,2602.18,3149.38
19-03-2018,2849.32,3538.76
20-03-2018,2945.14,3621.09
21-03-2018,2938.74,3572.48
22-03-2018,2943.31,3571.81
23-03-2018,2939.52,3620.79
24-03-2018,2799.94,3305.37
25-03-2018,2638.88,3090.20
26-03-2018,2965.15,3615.59
27-03-2018,3080.91,3688.44
28-03-2018,3142.86,3677.18
29-03-2018,3129.30,3673.06
30-03-2018,3178.42,3732.84
31-03-2018,3097.98,3577.16
01-04-2018,2962.83,3409.97
02-04-2018,3322.20,3899.84
03-04-2018,3485.10,4053.93
04-04-2018,3653.91,4212.63
05-04-2018,3759.70,4381.43
06-04-2018,3588.90,4350.69
07-04-2018,3175.31,3656.31
08-04-2018,3267.85,3635.13
09-04-2018,3360.66,3784.31
10-04-2018,3466.09,4040.31
11-04-2018,3403.78,3900.94
12-04-2018,3309.07,3856.87
13-04-2018,3376.73,3881.31
14-04-2018,3259.34,3694.04
15-04-2018,3300.98,3824.20
16-04-2018,3687.45,4180.76
17-04-2018,3834.65,4438.27
18-04-2018,3859.99,4466.37
19-04-2018,3991.69,4654.84
20-04-2018,4007.96,4653.61
21-04-2018,3715.04,4194.55
22-04-2018,3345.47,3820.46
23-04-2018,3620.28,4177.21
24-04-2018,3779.04,4409.70
25-04-2018,3952.25,4630.54
26-04-2018,4168.08,4915.60
27-04-2018,4363.28,5196.11
28-04-2018,4259.63,4862.15
29-04-2018,4114.10,4795.93
30-04-2018,4298.42,5180.53
01-05-2018,4397.02,5089.27
02-05-2018,4214.99,5206.10
03-05-2018,3970.05,4587.92
04-05-2018,4105.62,4842.76
05-05-2018,4153.41,4923.83
06-05-2018,4008.91,4892.97
07-05-2018,4307.33,5136.87
08-05-2018,4078.60,4763.54
09-05-2018,4018.93,4778.23
10-05-2018,4094.58,4881.18
11-05-2018,4429.36,5277.26
12-05-2018,4582.92,5396.69
13-05-2018,4183.84,5337.87
14-05-2018,4144.79,4928.29
15-05-2018,4459.59,5375.08
16-05-2018,4341.54,5334.94
17-05-2018,4575.33,5381.88
18-05-2018,4582.69,5375.16
19-05-2018,4607.15,5447.97
20-05-2018,4360.27,5331.93
21-05-2018,4689.93,5578.85
22-05-2018,4905.72,5815.28
23-05-2018,5136.54,6055.29
24-05-2018,5165.23,6003.75
25-05-2018,5034.20,5982.82
26-05-2018,4896.68,5839.83
27-05-2018,4771.81,5943.15
28-05-2018,5263.35,6194.58
29-05-2018,5400.68,6260.86
30-05-2018,5414.22,6422.14
31-05-2018,5458.23,6396.29
01-06-2018,5446.87,6650.75
02-06-2018,4796.33,5623.83
03-06-2018,4732.87,5938.69
04-06-2018,5384.01,6399.25
05-06-2018,5590.53,6553.64
06-06-2018,5440.39,6372.43
07-06-2018,5517.73,6544.24
08-06-2018,5776.68,6921.97
09-06-2018,5106.04,6346.73
10-06-2018,4636.89,5932.29
11-06-2018,5332.38,6376.46
12-06-2018,5619.32,6649.88
13-06-2018,5752.43,6654.63
14-06-2018,5663.47,6592.36
15-06-2018,5553.60,6428.94
16-06-2018,5237.07,6253.73
17-06-2018,4740.82,6002.66
18-06-2018,4928.05,5792.34
19-06-2018,4998.71,6016.02
21-06-2018,5530.51,6371.00
22-06-2018,5684.79,6663.61
23-06-2018,5588.89,6461.91
24-06-2018,5286.99,6334.03
25-06-2018,6035.92,6835.07
26-06-2018,5847.87,6512.00
27-06-2018,5120.68,6099.83
28-06-2018,4796.19,5661.45
29-06-2018,4809.10,5465.15
30-06-2018,4769.87,5621.90
01-07-2018,4742.90,5804.26
02-07-2018,5021.24,6198.74
03-07-2018,4935.09,5995.80
04-07-2018,5027.04,5955.79
05-07-2018,5120.38,6254.46
06-07-2018,5205.50,6117.15
07-07-2018,5202.31,6085.47
08-07-2018,5183.65,6445.21
09-07-2018,5825.93,6982.56
10-07-2018,5849.59,6987.59
11-07-2018,5674.72,6564.62
12-07-2018,5525.79,6688.54
13-07-2018,5054.79,6031.48
14-07-2018,4603.11,5246.91
15-07-2018,4609.41,5788.84
16-07-2018,4991.36,5674.87
17-07-2018,5168.30,6216.21
18-07-2018,5373.55,6332.23
19-07-2018,5385.70,6397.96
20-07-2018,5129.34,6034.13
21-07-2018,4754.17,5561.36
22-07-2018,4285.83,5006.43
23-07-2018,4713.93,5592.38
24-07-2018,5061.95,6001.26
25-07-2018,4958.05,5734.42
26-07-2018,4435.50,5305.08
27-07-2018,4156.87,4696.78
28-07-2018,3940.73,4447.88
29-07-2018,4017.73,5292.35
30-07-2018,4590.95,5610.63
31-07-2018,4713.33,5389.36
01-08-2018,4740.66,5754.56
02-08-2018,4954.56,5926.30
03-08-2018,4933.67,5642.91
04-08-2018,4760.61,5661.02
05-08-2018,4453.41,5517.16
06-08-2018,4453.83,5045.87
07-08-2018,4429.91,5129.91
08-08-2018,4575.23,5354.72
09-08-2018,4904.32,5842.85
10-08-2018,5068.73,5730.94
11-08-2018,4943.52,5754.77
12-08-2018,4583.44,5604.49
13-08-2018,4803.30,5644.59
14-08-2018,4978.77,5785.40
15-08-2018,4334.42,5664.75
16-08-2018,4887.10,5834.80
17-08-2018,5085.76,5925.01
18-08-2018,4969.76,5729.86
19-08-2018,4545.05,5361.35
20-08-2018,4938.67,5765.91
21-08-2018,4986.57,5850.43
22-08-2018,4895.43,5686.67
23-08-2018,4767.52,5404.39
24-08-2018,4718.99,5455.49
25-08-2018,4508.61,5254.40
26-08-2018,4135.27,5145.11
27-08-2018,4623.30,5388.71
28-08-2018,4492.50,5152.62
29-08-2018,4451.91,5092.02
30-08-2018,4647.92,5530.69
31-08-2018,4822.33,5559.21
01-09-2018,4332.68,5345.82
02-09-2018,3821.71,4571.38
03-09-2018,3680.26,4098.11
04-09-2018,3986.38,4562.77
05-09-2018,4018.92,4572.01
06-09-2018,4198.34,5096.70
07-09-2018,4155.07,4991.69
08-09-2018,3873.98,4310.85
09-09-2018,3683.75,4211.52
10-09-2018,4128.08,4707.49
11-09-2018,4395.62,5081.30
12-09-2018,4502.44,5121.94
13-09-2018,4477.11,5141.58
14-09-2018,4485.42,5075.44
15-09-2018,4314.69,4856.21
16-09-2018,4112.54,4848.73
17-09-2018,4449.47,5075.00
18-09-2018,4511.55,5086.89
19-09-2018,4539.19,5068.85
20-09-2018,4566.52,5188.65
21-09-2018,4353.54,4976.03
22-09-2018,3852.85,4247.40
23-09-2018,3505.84,3949.10
24-09-2018,3603.11,4198.80
25-09-2018,3394.99,4028.74
26-09-2018,3537.31,4188.90
27-09-2018,3756.30,4371.12
28-09-2018,3909.51,4434.65
29-09-2018,3920.91,4427.87
30-09-2018,3726.86,4126.46
01-10-2018,3991.98,4555.60
02-10-2018,3516.86,4165.08
03-10-2018,3998.02,4604.08
04-10-2018,4145.43,4663.93
05-10-2018,4105.04,4629.62
06-10-2018,3849.92,4257.95
07-10-2018,3585.35,3972.21
08-10-2018,3834.45,4354.58
09-10-2018,3868.14,4453.52
10-10-2018,3938.91,4555.84
11-10-2018,3724.01,4385.70
12-10-2018,3453.69,4151.14
13-10-2018,3182.81,3786.67
14-10-2018,2961.17,3502.34
15-10-2018,3202.69,3938.17
16-10-2018,3310.40,4022.35
17-10-2018,3350.89,4012.79
18-10-2018,3370.06,4071.06
19-10-2018,2887.67,3352.29
20-10-2018,3024.15,3752.24
21-10-2018,2893.19,3461.54
22-10-2018,3025.78,3751.44
23-10-2018,3054.97,3758.41
24-10-2018,3063.66,3799.87
25-10-2018,3044.22,3807.16
26-10-2018,3044.06,3765.83
27-10-2018,2890.13,3464.03
28-10-2018,2707.05,3328.56
29-10-2018,2926.36,3694.83
30-10-2018,2995.12,3690.25
31-10-2018,2982.76,3711.26
01-11-2018,2944.19,3678.58
02-11-2018,2960.12,3715.19
03-11-2018,2828.92,3476.28
04-11-2018,2664.55,3249.63
05-11-2018,2755.22,3412.26
06-11-2018,2607.01,3349.16
07-11-2018,2236.88,2787.24
08-11-2018,2130.17,2608.95
09-11-2018,2290.16,3118.45
10-11-2018,2368.88,3040.52
11-11-2018,2302.81,2941.44
12-11-2018,2541.94,3227.51
13-11-2018,2526.34,3367.32
14-11-2018,2559.44,3263.31
15-11-2018,2597.68,3287.64
16-11-2018,2649.22,3409.81
17-11-2018,2494.18,3242.21
18-11-2018,2380.69,3228.01
19-11-2018,2535.69,3356.45
20-11-2018,2555.17,3280.73
21-11-2018,2580.46,3496.85
22-11-2018,2582.28,3310.61
23-11-2018,2559.81,3532.04
24-11-2018,2466.12,3246.25
25-11-2018,2412.73,3327.63
26-11-2018,2539.69,3365.45
27-11-2018,2575.78,3308.32
28-11-2018,2612.23,3397.94
29-11-2018,2622.92,3423.09
30-11-2018,2644.95,3571.29
01-12-2018,2509.82,3313.39
02-12-2018,2386.09,3352.83
03-12-2018,2549.22,3401.52
04-12-2018,2583.97,3495.74
05-12-2018,2635.40,3536.42
06-12-2018,2544.58,3520.87
07-12-2018,2671.86,3645.62
08-12-2018,2552.06,3559.40
09-12-2018,2465.82,3570.35
10-12-2018,2615.74,3515.61
11-12-2018,2650.53,3613.12
12-12-2018,2662.54,3642.13
13-12-2018,2670.07,3617.67
14-12-2018,2707.62,3771.53
15-12-2018,2586.55,3670.98
16-12-2018,2498.14,3696.31
17-12-2018,2694.10,3745.50
18-12-2018,2744.77,3786.41
19-12-2018,2733.19,3695.96
20-12-2018,2816.39,3813.24
21-12-2018,2868.34,4041.45
22-12-2018,2723.48,3817.52
23-12-2018,2656.91,3931.98
24-12-2018,2813.17,4001.31
25-12-2018,2691.08,3988.00
26-12-2018,2735.19,3900.55
27-12-2018,2894.70,4077.16
28-12-2018,3035.10,4396.91
29-12-2018,2879.19,4162.66
30-12-2018,2775.83,4119.18
31-12-2018,2920.73,4330.44
01-01-2019,2884.12,4372.52
02-01-2019,2868.36,4190.01
03-01-2019,2931.74,4265.97
04-01-2019,3057.24,4419.34
05-01-2019,2837.98,4165.55
06-01-2019,2694.98,3921.24
07-01-2019,2953.07,4278.06
08-01-2019,2898.10,4183.50
09-01-2019,2949.34,4264.46
10-01-2019,2907.81,4199.91
11-01-2019,2994.38,4387.56
12-01-2019,2819.82,4224.47
13-01-2019,2712.75,4024.51
14-01-2019,2900.68,4234.39
15-01-2019,2989.03,4258.49
16-01-2019,3016.16,4289.54
17-01-2019,2998.69,4120.56
18-01-2019,3061.62,4282.26
19-01-2019,2823.25,4043.62
20-01-2019,2690.00,4075.85
21-01-2019,2830.12,3978.86
22-01-2019,2826.46,3852.55
23-01-2019,2935.74,4186.42
24-01-2019,2937.38,4072.46
25-01-2019,2993.24,4227.71
26-01-2019,2417.34,3483.43
27-01-2019,2670.31,4045.44
28-01-2019,2968.47,4182.33
29-01-2019,2979.64,4241.14
30-01-2019,3023.16,4294.84
31-01-2019,2971.13,4189.11
01-02-2019,2997.09,4279.38
02-02-2019,2875.57,4154.52
03-02-2019,2787.70,4276.96
04-02-2019,2909.07,4191.25
05-02-2019,2885.46,4107.62
06-02-2019,2865.92,4082.08
07-02-2019,2867.81,4013.30
08-02-2019,2914.30,4219.94
09-02-2019,2733.51,4010.14
10-02-2019,2649.52,4005.45
11-02-2019,2774.40,3961.52
12-02-2019,2825.86,3972.65
13-02-2019,2788.35,3967.81
14-02-2019,2783.70,3907.24
15-02-2019,2851.86,4087.82
16-02-2019,2698.75,3901.52
17-02-2019,2594.29,3973.96
18-02-2019,2670.41,3808.64
19-02-2019,2703.94,3903.77
20-02-2019,2733.59,3834.77
21-02-2019,2701.52,3852.25
22-02-2019,2724.06,3873.32
23-02-2019,2561.82,3655.64
24-02-2019,2478.39,3737.66
25-02-2019,2598.21,3674.52
26-02-2019,2665.10,3717.22
27-02-2019,2739.61,3938.44
28-02-2019,2717.35,3844.37
01-03-2019,2740.38,3984.45
02-03-2019,2615.32,3709.97
03-03-2019,2502.21,3792.93
04-03-2019,2576.14,3981.06
05-03-2019,2628.56,3694.38
06-03-2019,2659.10,3813.16
07-03-2019,2625.04,3624.03
08-03-2019,2685.55,3792.11
09-03-2019,2486.96,3475.41
10-03-2019,2407.76,3465.81
11-03-2019,2549.32,3543.37
12-03-2019,2574.81,3409.97
13-03-2019,2620.05,3560.02
14-03-2019,2620.83,3580.45
15-03-2019,2658.49,3746.75
16-03-2019,2497.88,3463.59
17-03-2019,2394.02,3391.29
18-03-2019,2556.06,3491.83
19-03-2019,2589.63,3484.07
20-03-2019,2505.43,3521.47
21-03-2019,1955.52,2311.98
22-03-2019,2301.80,3094.53
23-03-2019,2418.59,3112.71
24-03-2019,2432.34,3128.12
25-03-2019,2617.56,3313.86
26-03-2019,2676.00,3391.55
27-03-2019,2736.37,3411.50
28-03-2019,2815.74,3496.38
29-03-2019,3026.70,3728.76
30-03-2019,3074.03,3632.73
31-03-2019,2871.11,3297.19
01-04-2019,3030.83,3535.67
02-04-2019,3096.34,3627.20
03-04-2019,3210.85,3745.15
04-04-2019,3375.61,4060.89
05-04-2019,3548.30,4217.56
06-04-2019,3483.47,3903.34
07-04-2019,3468.68,3934.36
08-04-2019,3562.92,4155.27
09-04-2019,3652.81,4250.87
10-04-2019,3797.38,4379.58
11-04-2019,3930.85,4646.34
12-04-2019,3912.16,4551.35
13-04-2019,3748.93,4168.66
14-04-2019,3595.23,4168.95
15-04-2019,4058.84,4790.11
16-04-2019,3685.47,4488.86
17-04-2019,3098.55,3686.55
18-04-2019,3107.38,3671.38
19-04-2019,3153.54,3691.04
20-04-2019,3262.27,3709.11
21-04-2019,3308.46,3855.32
22-04-2019,3866.77,4533.46
23-04-2019,4131.53,4911.61
24-04-2019,4450.26,5251.19
25-04-2019,4674.35,5532.28
26-04-2019,4555.63,5279.34
27-04-2019,4284.52,4945.82
28-04-2019,4127.45,5076.71
29-04-2019,4544.23,5361.66
30-04-2019,4711.51,5647.66
01-05-2019,4744.54,5614.00
02-05-2019,4676.97,5805.03
03-05-2019,4403.95,5360.54
04-05-2019,4161.97,4835.50
05-05-2019,3993.39,4974.38
06-05-2019,4403.00,5234.85
01-06-2019,5509.45,6440.33
02-06-2019,5512.45,6535.31
03-06-2019,5627.76,6589.58
04-06-2019,5513.51,6552.15
05-06-2019,5463.26,6494.92
06-06-2019,5581.86,6641.31
07-06-2019,5371.61,6454.70
08-06-2019,5366.18,6367.18
09-06-2019,5180.85,6420.45
10-06-2019,5659.04,6669.81
11-06-2019,5777.26,6790.85
12-06-2019,5654.73,6859.50
13-06-2019,5663.78,6766.28
14-06-2019,5599.23,6547.44
15-06-2019,5433.56,6540.09
16-06-2019,4885.48,6389.60
17-06-2019,4787.69,5920.10
18-06-2019,4094.84,4987.66
19-06-2019,4433.26,5190.24
20-06-2019,4703.43,5655.66
21-06-2019,5115.81,5940.81
22-06-2019,4975.54,6131.53
24-06-2019,5112.42,5947.54
25-06-2019,5296.11,6423.05
26-06-2019,5633.58,6612.94
27-06-2019,5611.34,6529.78
28-06-2019,5592.03,6602.48
29-06-2019,5674.37,6748.26
30-06-2019,5648.00,6651.78
01-07-2019,6023.59,7213.06
02-07-2019,6115.52,7371.76
03-07-2019,6063.61,7075.50
04-07-2019,5761.77,6876.83
05-07-2019,5255.40,6120.64
06-07-2019,5115.44,6005.74
07-07-2019,4960.97,6237.76
08-07-2019,5419.10,6351.58
09-07-2019,5255.45,6173.57
10-07-2019,5416.39,6607.70
11-07-2019,5692.11,6826.75
12-07-2019,5739.39,6764.03
13-07-2019,5528.08,6650.86
14-07-2019,5243.07,6490.03
15-07-2019,4900.85,5969.84
16-07-2019,4484.81,5006.66
17-07-2019,4263.70,4828.98
18-07-2019,4172.21,4675.22
19-07-2019,4570.82,5698.56
20-07-2019,4683.93,5508.63
21-07-2019,4422.05,5222.17
22-07-2019,4903.64,5825.69
23-07-2019,5380.42,6468.66
24-07-2019,5430.96,6602.67
25-07-2019,4784.63,5632.12
26-07-2019,4532.46,5100.37
27-07-2019,4215.65,4754.82
28-07-2019,4125.24,5057.64
29-07-2019,4663.41,5594.46
30-07-2019,4813.80,5626.99
31-07-2019,4910.56,5746.41
01-08-2019,5088.20,5952.50
02-08-2019,5044.37,5791.38
03-08-2019,4645.11,5445.81
04-08-2019,4528.73,5556.00
05-08-2019,5039.23,6018.06
06-08-2019,4618.06,5694.99
07-08-2019,4639.06,5528.13
08-08-2019,5038.20,6098.07
09-08-2019,4995.40,5872.90
10-08-2019,4675.75,5425.77
11-08-2019,4670.12,5781.23
12-08-2019,4845.52,5687.23
13-08-2019,4895.63,5693.50
14-08-2019,4751.89,5490.52
15-08-2019,4120.20,5331.48
16-08-2019,4480.77,5093.78
17-08-2019,4113.29,4917.15
18-08-2019,3699.17,4409.71
19-08-2019,4323.75,5176.00
20-08-2019,4650.14,5383.45
21-08-2019,4907.94,5803.79
22-08-2019,4824.00,5508.65
23-08-2019,4906.46,5783.30
24-08-2019,4563.49,5670.28
25-08-2019,4262.86,4844.98
26-08-2019,4668.10,5673.05
27-08-2019,5055.29,6057.97
28-08-2019,5359.17,6345.69
29-08-2019,5512.09,6417.33
30-08-2019,5514.36,6397.41
31-08-2019,5405.44,6255.95
01-09-2019,4695.94,6095.05
02-09-2019,4511.46,5439.93
03-09-2019,5368.71,6326.99
04-09-2019,5430.47,6260.27
05-09-2019,5393.27,6158.46
06-09-2019,5359.71,6173.97
07-09-2019,5083.87,5833.79
08-09-2019,4860.56,6027.15
09-09-2019,5335.40,6231.20
10-09-2019,5304.16,6355.04
11-09-2019,5621.97,6602.42
12-09-2019,5707.50,6535.02
13-09-2019,5534.51,6363.36
14-09-2019,5195.91,6156.90
15-09-2019,4829.69,5795.87
16-09-2019,5211.74,6154.80
17-09-2019,5198.53,6063.26
18-09-2019,5030.09,5828.12
19-09-2019,4745.99,5585.20
20-09-2019,4717.86,5386.70
21-09-2019,4519.36,5244.29
22-09-2019,3902.06,4626.12
23-09-2019,4100.31,4723.71
24-09-2019,4170.49,4780.65
25-09-2019,4259.48,4981.25
26-09-2019,4285.01,4819.90
27-09-2019,4188.83,4702.48
28-09-2019,3926.66,4321.32
29-09-2019,3555.83,3909.19
30-09-2019,3715.64,4286.33
01-10-2019,3857.73,4440.25
02-10-2019,3342.02,3829.45
03-10-2019,3846.20,4577.08
04-10-2019,3709.33,4318.98
05-10-2019,3412.81,3979.29
06-10-2019,3235.76,3689.89
07-10-2019,3458.79,4015.45
08-10-2019,3035.95,3365.45
09-10-2019,3444.17,4128.99
10-10-2019,3479.74,4180.11
11-10-2019,3534.82,4199.21
12-10-2019,3412.67,4018.59
13-10-2019,3314.21,3786.24
14-10-2019,3573.68,4215.56
15-10-2019,3615.75,4264.91
16-10-2019,3675.83,4265.80
17-10-2019,3664.07,4308.73
18-10-2019,3619.82,4333.82
19-10-2019,3351.32,3986.47
20-10-2019,3126.38,3633.47
21-10-2019,3263.78,3940.63
22-10-2019,3160.48,3857.47
23-10-2019,3136.09,3889.30
24-10-2019,3180.39,3928.59
25-10-2019,3159.04,3829.66
26-10-2019,2902.37,3456.96
27-10-2019,2525.81,3065.18
28-10-2019,2503.83,2907.56
29-10-2019,2622.22,3128.61
30-10-2019,2830.62,3503.14
31-10-2019,2867.01,3532.82
01-11-2019,2872.16,3476.31
02-11-2019,2703.24,3435.72
03-11-2019,2569.25,3408.51
04-11-2019,2790.39,3525.98
05-11-2019,2782.18,3491.75
06-11-2019,2792.26,3559.46
07-11-2019,2740.67,3402.46
08-11-2019,2744.35,3430.79
09-11-2019,2571.70,3140.98
10-11-2019,2490.98,3090.68
11-11-2019,2635.71,3264.24
12-11-2019,2494.57,3244.30
13-11-2019,2580.81,3302.17
14-11-2019,2636.13,3458.54
15-11-2019,2689.19,3609.55
16-11-2019,2553.36,3248.67
17-11-2019,2439.65,3231.37
18-11-2019,2567.73,3328.27
19-11-2019,2618.40,3330.82
20-11-2019,2637.80,3398.03
21-11-2019,2636.46,3360.18
22-11-2019,2679.03,3512.02
23-11-2019,2519.56,3366.28
24-11-2019,2451.29,3339.07
25-11-2019,2600.38,3372.79
26-11-2019,2638.10,3379.23
27-11-2019,2640.91,3457.23
28-11-2019,2590.23,3420.71
29-11-2019,2654.90,3537.49
30-11-2019,2505.17,3358.22
01-12-2019,2377.27,3258.00
02-12-2019,2552.41,3462.09
03-12-2019,2594.54,3507.28
04-12-2019,2642.48,3595.14
05-12-2019,2643.21,3552.00
06-12-2019,2721.14,3783.62
07-12-2019,2594.74,3499.01
08-12-2019,2462.47,3573.74
09-12-2019,2603.41,3537.21
10-12-2019,2648.69,3637.76
11-12-2019,2716.94,3744.15
12-12-2019,2683.71,3709.59
13-12-2019,2780.26,3960.75
14-12-2019,2657.66,3836.73
15-12-2019,2579.43,3859.78
16-12-2019,2795.46,3916.24
17-12-2019,2914.79,4032.83
18-12-2019,2963.92,4244.96
19-12-2019,3044.05,4216.08
20-12-2019,3128.56,4549.48
21-12-2019,2932.32,4165.30
22-12-2019,2902.13,4316.08
23-12-2019,3142.96,4486.09
24-12-2019,3179.43,4604.34
25-12-2019,3180.91,4739.59
26-12-2019,3316.09,4919.90
27-12-2019,3412.94,4887.93
28-12-2019,3318.85,4675.49
29-12-2019,3258.39,4782.64
30-12-2019,3578.36,5041.07
31-12-2019,3564.70,5179.96
processed-avg,NaN,0.00
processed-by-30-min,NaN,0.00
processed,NaN,0.00
